flow_id,iat,packet_length,direction,icmp_type
25,0.019508838653564453,98,1,0
26,0.0,98,0,8
26,0.006990909576416016,98,1,0
27,0.0,98,0,8
27,0.00725102424621582,98,1,0
28,0.0,98,0,8
28,0.00900411605834961,98,1,0
29,0.0,98,0,8
29,0.006501197814941406,98,1,0
30,0.0,98,0,8
30,0.011253833770751953,98,1,0
31,0.0,98,0,8
31,0.006751060485839844,98,1,0
32,0.0,74,0,8
32,0.00026988983154296875,74,1,0
33,0.0,74,0,8
33,0.00023102760314941406,74,1,0
34,0.0,74,0,8
34,2.1457672119140625e-06,74,1,0
35,0.0,74,0,8
35,1.9073486328125e-06,74,1,0
35,0.0002429485321044922,74,1,0
36,0.0,74,0,8
36,0.00025200843811035156,74,1,0
37,0.0,98,0,8
37,0.0027480125427246094,98,1,0
38,0.0,98,0,8
38,0.0027408599853515625,98,1,0
39,0.0,98,0,8
39,0.0027489662170410156,98,1,0
40,0.0,98,0,8
40,0.002981901168823242,98,1,0
41,0.0,98,0,8
41,0.08176302909851074,98,1,0
42,0.0,98,0,8
42,0.002752065658569336,98,1,0
43,0.0,98,0,8
43,0.0027480125427246094,98,1,0
44,0.0,98,0,8
44,0.0027570724487304688,98,1,0
45,0.0,98,0,8
45,0.002995014190673828,98,1,0
46,0.0,74,0,8
46,0.009251117706298828,74,1,0
46,0.0012509822845458984,74,1,0
46,0.0012519359588623047,74,1,0
46,0.0012509822845458984,74,1,0
46,0.0011229515075683594,74,1,0
46,0.0012500286102294922,74,1,0
47,0.0,98,0,8
47,0.020752906799316406,98,1,0
48,0.0,98,0,8
48,0.021003007888793945,98,1,0
49,0.0,98,0,8
49,0.021502017974853516,98,1,0
50,0.0,98,0,8
50,0.02175283432006836,98,1,0
51,0.0,98,0,8
51,0.022513151168823242,98,1,0
52,0.0,98,0,8
52,0.02300095558166504,98,1,0
53,0.0,98,0,8
53,0.02126002311706543,98,1,0
54,0.0,98,0,8
54,0.0305020809173584,98,1,0
55,0.0,98,0,8
55,0.020757198333740234,98,1,0
56,0.0,74,0,8
56,0.027499914169311523,74,1,0
56,0.001001119613647461,74,1,0
56,0.0014998912811279297,74,1,0
56,0.00025200843811035156,74,1,0
56,0.0014979839324951172,74,1,0
56,0.0015010833740234375,74,1,0
57,0.0,98,0,8
57,0.03425002098083496,98,1,0
58,0.0,98,0,8
58,0.03475499153137207,98,1,0
59,0.0,98,0,8
59,0.054746150970458984,98,1,0
60,0.0,98,0,8
60,0.03400611877441406,98,1,0
61,0.0,98,0,8
61,0.03425717353820801,98,1,0
62,0.0,98,0,8
62,0.034757137298583984,98,1,0
63,0.0,98,0,8
63,0.03426098823547363,98,1,0
64,0.0,98,0,8
64,0.03449702262878418,98,1,0
65,0.0,98,0,8
65,0.03450298309326172,98,1,0
66,0.0,60,0,8
66,0.0008530616760253906,60,1,0
67,0.0,74,0,8
67,0.12545013427734375,74,1,0
68,0.0,74,0,8
68,0.12475919723510742,74,1,0
68,3.5762786865234375e-05,74,1,0
68,0.00036406517028808594,74,1,0
69,0.0,74,0,8
69,0.12465381622314453,74,1,0
69,2.4080276489257812e-05,74,1,0
69,6.9141387939453125e-06,74,1,0
70,0.0,74,0,8
70,0.12531495094299316,74,1,0
70,3.600120544433594e-05,74,1,0
70,6.198883056640625e-06,74,1,0
71,0.0,74,0,8
71,0.1251828670501709,74,1,0
71,3.409385681152344e-05,74,1,0
71,5.0067901611328125e-06,74,1,0
72,0.0,74,0,8
72,0.12477803230285645,74,1,0
72,3.3855438232421875e-05,74,1,0
72,0.0004000663757324219,74,1,0
73,0.0,98,0,8
73,0.0007941722869873047,98,1,0
74,0.0,98,0,8
74,0.0007340908050537109,98,1,0
75,0.0,98,0,8
75,0.0009789466857910156,98,1,0
76,0.0,98,0,8
76,0.0008070468902587891,98,1,0
77,0.0,130,0,8
77,0.0010581016540527344,130,1,0
78,0.0,130,0,8
78,0.0006840229034423828,130,1,0
79,0.0,130,0,8
79,0.0008289813995361328,130,1,0
80,0.0,110,0,8
80,0.004836559295654297,110,1,0
81,0.0,110,0,8
81,0.004812717437744141,110,1,0
82,0.0,110,0,8
82,0.005059003829956055,110,1,0
83,0.0,110,0,8
83,0.004748821258544922,110,1,0
84,0.0,110,0,8
84,0.004776954650878906,110,1,0
85,0.0,110,0,8
85,0.004794120788574219,110,1,0
86,0.0,110,0,8
86,0.004797935485839844,110,1,0
87,0.0,110,0,8
87,0.0048656463623046875,110,1,0
88,0.0,110,0,8
88,0.005120038986206055,110,1,0
89,0.0,110,0,8
89,0.0053021907806396484,110,1,0
90,0.0,110,0,8
90,0.0049898624420166016,110,1,0
91,0.0,110,0,8
91,0.00495457649230957,110,1,0
92,0.0,110,0,8
92,0.004884958267211914,110,1,0
93,0.0,110,0,8
93,0.00504302978515625,110,1,0
94,0.0,110,0,8
94,0.00496220588684082,110,1,0
95,0.0,110,0,8
95,0.004983663558959961,110,1,0
96,0.0,110,0,8
96,0.00499415397644043,110,1,0
97,0.0,110,0,8
97,0.005158424377441406,110,1,0
98,0.0,110,0,8
98,0.0048868656158447266,110,1,0
99,0.0,110,0,8
99,0.0048825740814208984,110,1,0
100,0.0,110,0,8
100,0.0050048828125,110,1,0
101,0.0,110,0,8
101,0.004912376403808594,110,1,0
102,0.0,110,0,8
102,0.004873752593994141,110,1,0
103,0.0,110,0,8
103,0.004837512969970703,110,1,0
104,0.0,110,0,8
104,0.0050313472747802734,110,1,0
105,0.0,110,0,8
105,0.0061321258544921875,110,1,0
106,0.0,110,0,8
106,0.0050547122955322266,110,1,0
107,0.0,110,0,8
107,0.005138874053955078,110,1,0
108,0.0,110,0,8
108,0.004834175109863281,110,1,0
109,0.0,110,0,8
109,0.005012989044189453,110,1,0
110,0.0,110,0,8
110,0.00527501106262207,110,1,0
111,0.0,110,0,8
111,0.004835605621337891,110,1,0
112,0.0,110,0,8
112,0.004817485809326172,110,1,0
113,0.0,110,0,8
113,0.004746675491333008,110,1,0
114,0.0,110,0,8
114,0.005029916763305664,110,1,0
115,0.0,110,0,8
115,0.005486011505126953,110,1,0
116,0.0,110,0,8
116,0.004790782928466797,110,1,0
117,0.0,110,0,8
117,0.0047817230224609375,110,1,0
118,0.0,110,0,8
118,0.004785060882568359,110,1,0
119,0.0,110,0,8
119,0.004832744598388672,110,1,0
120,0.0,110,0,8
120,0.004917144775390625,110,1,0
121,0.0,110,0,8
121,0.004872798919677734,110,1,0
122,0.0,110,0,8
122,0.004903554916381836,110,1,0
123,0.0,110,0,8
123,0.0047245025634765625,110,1,0
124,0.0,110,0,8
124,0.00484919548034668,110,1,0
125,0.0,110,0,8
125,0.004683256149291992,110,1,0
126,0.0,110,0,8
126,0.004796504974365234,110,1,0
127,0.0,110,0,8
127,0.005139589309692383,110,1,0
128,0.0,110,0,8
128,0.00481414794921875,110,1,0
129,0.0,110,0,8
129,0.00502777099609375,110,1,0
130,0.0,110,0,8
130,0.004750490188598633,110,1,0
131,0.0,110,0,8
131,0.004694938659667969,110,1,0
132,0.0,110,0,8
132,0.004872322082519531,110,1,0
133,0.0,110,0,8
133,0.004721164703369141,110,1,0
134,0.0,110,0,8
134,0.0048084259033203125,110,1,0
135,0.0,110,0,8
135,0.005336284637451172,110,1,0
136,0.0,110,0,8
136,0.0047342777252197266,110,1,0
137,0.0,110,0,8
137,0.004820346832275391,110,1,0
138,0.0,110,0,8
138,0.0048253536224365234,110,1,0
139,0.0,110,0,8
139,0.004851102828979492,110,1,0
140,0.0,110,0,8
140,0.004832267761230469,110,1,0
141,0.0,110,0,8
141,0.004736423492431641,110,1,0
142,0.0,110,0,8
142,0.004806995391845703,110,1,0
143,0.0,110,0,8
143,0.004987239837646484,110,1,0
144,0.0,110,0,8
144,0.01156306266784668,110,1,0
145,0.0,110,0,8
145,0.006496429443359375,110,1,0
146,0.0,110,0,8
146,0.004942893981933594,110,1,0
147,0.0,110,0,8
147,0.004927158355712891,110,1,0
148,0.0,110,0,8
148,0.0048215389251708984,110,1,0
149,0.0,110,0,8
149,0.0050907135009765625,110,1,0
150,0.0,110,0,8
150,0.005034685134887695,110,1,0
151,0.0,110,0,8
151,0.005049943923950195,110,1,0
152,0.0,110,0,8
152,0.005564451217651367,110,1,0
153,0.0,110,0,8
153,0.004961490631103516,110,1,0
154,0.0,110,0,8
154,0.005108833312988281,110,1,0
155,0.0,110,0,8
155,0.00499272346496582,110,1,0
156,0.0,110,0,8
156,0.004912853240966797,110,1,0
157,0.0,110,0,8
157,0.005530595779418945,110,1,0
158,0.0,110,0,8
158,0.004904508590698242,110,1,0
159,0.0,110,0,8
159,0.004991054534912109,110,1,0
160,0.0,110,0,8
160,0.0050449371337890625,110,1,0
161,0.0,110,0,8
161,0.006820201873779297,110,1,0
162,0.0,110,0,8
162,0.005208492279052734,110,1,0
163,0.0,110,0,8
163,0.004884958267211914,110,1,0
164,0.0,110,0,8
164,0.006844282150268555,110,1,0
165,0.0,110,0,8
165,0.004889011383056641,110,1,0
166,0.0,110,0,8
166,0.004877805709838867,110,1,0
167,0.0,110,0,8
167,0.004914283752441406,110,1,0
168,0.0,110,0,8
168,0.0048716068267822266,110,1,0
169,0.0,110,0,8
169,0.0050051212310791016,110,1,0
170,0.0,110,0,8
170,0.006072044372558594,110,1,0
171,0.0,110,0,8
171,0.0050106048583984375,110,1,0
172,0.0,110,0,8
172,0.0049114227294921875,110,1,0
173,0.0,110,0,8
173,0.004935264587402344,110,1,0
174,0.0,110,0,8
174,0.005102634429931641,110,1,0
175,0.0,110,0,8
175,0.004817485809326172,110,1,0
176,0.0,110,0,8
176,0.004817962646484375,110,1,0
177,0.0,110,0,8
177,0.004859209060668945,110,1,0
178,0.0,110,0,8
178,0.004967451095581055,110,1,0
179,0.0,110,0,8
179,0.004939079284667969,110,1,0
180,0.0,110,0,8
180,0.004855632781982422,110,1,0
181,0.0,110,0,8
181,0.004911184310913086,110,1,0
182,0.0,110,0,8
