src_ip,dst_ip,packet_count,flow_duration,avg_packet_size,iat_mean,total_bytes
192.168.120.22,37.209.192.2,1.0986122886681098,0.1521683434585814,4.605170185988092,0.1521683434585814,5.293304824724492
192.168.120.22,37.209.192.2,1.0986122886681098,0.1559629932641261,4.663439094112067,0.1559629932641261,5.351858133476067
192.168.120.22,37.209.192.2,1.0986122886681098,0.157659962973048,4.605170185988092,0.157659962973048,5.293304824724492
192.168.120.22,37.209.192.2,1.0986122886681098,0.1523673545461213,4.663439094112067,0.1523673545461213,5.351858133476067
192.168.120.22,37.209.192.2,1.0986122886681098,0.1577375479028761,4.605170185988092,0.1577375479028761,5.293304824724492
192.168.120.22,37.209.192.2,1.0986122886681098,0.15290133568281203,4.663439094112067,0.15290133568281203,5.351858133476067
192.168.120.22,37.209.192.2,1.0986122886681098,0.15861621989267932,4.605170185988092,0.15861621989267932,5.293304824724492
192.168.120.22,37.209.192.2,1.0986122886681098,0.15486207212656358,4.663439094112067,0.15486207212656358,5.351858133476067
192.168.120.22,156.154.65.154,1.0986122886681098,0.0045726498295854175,4.686750172980514,0.0045726498295854175,5.375278407684165
192.168.120.22,205.251.199.192,1.0986122886681098,0.002722369021899231,5.150397236471415,0.002722369021899231,5.840641657373398
192.168.120.22,192.31.80.30,1.0986122886681098,0.0896064911234033,5.7745515455444085,0.0896064911234033,6.466144724237619
192.168.120.22,192.31.80.30,1.0986122886681098,0.08881445989271791,5.7745515455444085,0.08881445989271791,6.466144724237619
192.168.120.22,192.31.80.30,1.0986122886681098,0.0911351334193477,5.772997543677674,0.0911351334193477,6.464588303689961
192.168.120.22,192.31.80.30,1.0986122886681098,0.09005369415056638,5.772997543677674,0.09005369415056638,6.464588303689961
2003:de:2016:120::a08:53,2600:9000:5301:4800::1,1.0986122886681098,0.011013197653752058,5.552959584921617,0.011013197653752058,6.244166900663736
2003:de:2016:120::a08:53,2600:9000:5301:4800::1,1.0986122886681098,0.011988021079570284,5.575949103146316,0.011988021079570284,6.267200548541362
2003:de:2016:120::a08:53,2001:500:b::1,1.0986122886681098,0.22492990344515823,4.727387818712341,0.22492990344515823,5.41610040220442
2003:de:2016:120::a08:53,2001:500:b::1,1.0986122886681098,0.24202974528295962,4.727387818712341,0.24202974528295962,5.41610040220442
192.168.120.22,205.251.198.70,1.0986122886681098,0.003976059445721039,5.465948207931988,0.003976059445721039,6.156978985585555
192.168.120.22,192.31.80.30,1.0986122886681098,0.08995694787587619,6.181051314893349,0.08995694787587619,6.873163834212518
192.168.120.22,192.31.80.30,1.0986122886681098,0.08861046261444687,6.180016653652572,0.08861046261444687,6.872128101338986
192.168.120.22,192.31.80.30,1.0986122886681098,0.0910694006656288,6.180016653652572,0.0910694006656288,6.872128101338986
192.168.120.22,192.31.80.30,1.0986122886681098,0.09176481703828837,6.181051314893349,0.09176481703828837,6.873163834212518
2003:de:2016:120::a08:53,2600:9000:5306:ee00::1,1.0986122886681098,0.006882295144303266,5.5626028611934215,0.006882295144303266,6.253828811575473
192.168.120.22,205.251.197.93,1.0986122886681098,0.014288378630397974,5.484796933490655,0.014288378630397974,6.175867270105761
2003:de:2016:120::a08:53,2600:9000:5306:ee00::1,1.0986122886681098,0.0054224078349229664,5.539300835990577,0.0054224078349229664,6.230481447578482
192.168.120.22,205.251.197.93,1.0986122886681098,0.012179527228904495,5.459585514144159,0.012179527228904495,6.150602768446279
2003:de:2016:120::a08:53,2001:500:b::1,1.0986122886681098,0.21946323377935126,6.254789888055024,0.21946323377935126,6.946975992135418
2003:de:2016:120::a08:53,2001:500:b::1,1.0986122886681098,0.23369955572830703,6.254789888055024,0.23369955572830703,6.946975992135418
